sign,time
before,0.8976016044616699
behaviour,1.1566133499145508
belong,0.8877964019775391
belong_down,0.5597503185272217
bên_phải,0.5611598491668701
bến_tàu,1.0707287788391113
bên_trái,0.5732195377349854
bến_xe,1.0186021327972412
benefit,0.8994522094726562
benefits,0.8987257480621338
bệnh,0.3144099712371826
bệnh_nhân,1.3968942165374756
bệnh_nhân,1.4053020477294922
bệnh_viện,1.1996614933013916
bệnh_viện,1.2018828392028809
béo,0.5542929172515869
bếp,0.5402534008026123
bếp_ga,0.9969370365142822
best,0.7622103691101074
better,0.9035675525665283
bí_đỏ,1.1725890636444092
bị_động,0.5666782855987549
bí_xanh,0.6141948699951172
biển,1.1618080139160156
biển_báo_nguy_hiểm,0.5592050552368164
biển_cấm,0.3274242877960205
biết,0.3167445659637451
